n,m,sparsiness,number,p,time,name
1000,45000,97,4,0.3,7.866824626922607,sparseextra
100,1600,99,2,0.3,0.023069143295288086,sparseextra
200,2000,95,1,0.3,0.09073424339294434,sparse
50,875,95,0,0.3,0.008571863174438477,sparseextra
1000,10000,99,3,0.3,2.48407244682312,sparse
200,5000,95,3,0.3,0.1296558380126953,sparseextra
1000,50000,95,0,0.3,5.0722479820251465,sparse
50,125,95,2,0.3,0.004910707473754883,sparse
50,875,95,3,0.3,0.008584737777709961,sparseextra
200,5000,95,2,0.3,0.1308581829071045,sparseextra
300,4500,95,3,0.3,0.30260729789733887,sparse
300,22500,75,0,0.3,0.6580471992492676,density
50,825,97,3,0.3,0.014875173568725586,sparseextra
300,7200,97,1,0.3,0.28763890266418457,sparseextra
1000,10000,99,4,0.3,2.5210700035095215,sparse
100,100,99,2,0.3,0.020902395248413086,sparse
300,22500,75,2,0.3,0.6324276924133301,density
300,5400,99,3,0.3,0.2441568374633789,sparseextra
300,2700,97,3,0.3,0.1906909942626953,sparse
300,5400,99,2,0.3,0.25823974609375,sparseextra
50,125,95,0,0.3,0.004998207092285156,sparse
200,5000,95,0,0.3,0.12512469291687012,sparseextra
50,25,99,1,0.3,0.006712675094604492,sparse
100,2000,95,1,0.3,0.0444025993347168,sparseextra
100,5000,50,3,0.3,0.06735849380493164,density
500,15000,97,1,0.3,1.1497516632080078,sparseextra
50,825,97,2,0.3,0.00799417495727539,sparseextra
500,15000,97,4,0.3,1.1395149230957031,sparseextra
500,20000,95,3,0.3,1.8951854705810547,sparseextra
200,1200,97,3,0.3,0.07334613800048828,sparse
100,5000,50,4,0.3,0.04678988456726074,density
200,400,99,3,0.3,0.04254913330078125,sparse
200,2000,95,4,0.3,0.09237837791442871,sparse
300,4500,95,0,0.3,0.30291271209716797,sparse
1000,25000,99,3,0.3,3.534665584564209,sparseextra
100,1800,97,4,0.3,0.05444908142089844,sparseextra
500,20000,95,2,0.3,1.8877685070037842,sparseextra
500,15000,97,0,0.3,1.1305952072143555,sparseextra
200,400,99,4,0.3,0.041452646255493164,sparse
300,2700,97,4,0.3,0.1922740936279297,sparse
500,2500,99,3,0.3,0.4278404712677002,sparse
1000,50000,95,1,0.3,5.017379999160767,sparse
300,900,99,1,0.3,0.10992765426635742,sparse
50,75,97,1,0.3,0.0049076080322265625,sparse
1000,25000,99,1,0.3,3.4365150928497314,sparseextra
50,125,95,3,0.3,0.004975795745849609,sparse
50,75,97,4,0.3,0.004689216613769531,sparse
1000,45000,97,2,0.3,7.891986846923828,sparseextra
50,75,97,3,0.3,0.00458526611328125,sparse
500,20000,95,4,0.3,1.8783817291259766,sparseextra
500,7500,97,3,0.3,0.8996431827545166,sparse
100,500,95,1,0.3,0.03386092185974121,sparse
100,1800,97,0,0.3,0.03603935241699219,sparseextra
300,2700,97,0,0.3,0.19175243377685547,sparse
100,100,99,1,0.3,0.010738134384155273,sparse
500,10000,99,3,0.3,0.6965196132659912,sparseextra
500,10000,99,1,0.3,0.6716868877410889,sparseextra
100,2500,75,4,0.3,0.0442662239074707,density
1000,65000,95,0,0.3,6.274456262588501,sparseextra
300,900,99,2,0.3,0.11202073097229004,sparse
100,300,97,3,0.3,0.013799428939819336,sparse
50,825,97,1,0.3,0.008077859878540039,sparseextra
100,1800,97,2,0.3,0.027150869369506836,sparseextra
200,400,99,2,0.3,0.05195307731628418,sparse
1000,65000,95,4,0.3,6.291399002075195,sparseextra
200,4200,97,3,0.3,0.13697457313537598,sparseextra
500,7500,97,1,0.3,0.8989670276641846,sparse
300,9000,95,2,0.3,0.38625216484069824,sparseextra
500,12500,95,3,0.3,1.7237539291381836,sparse
1000,10000,99,2,0.3,2.4276177883148193,sparse
100,300,97,2,0.3,0.023104190826416016,sparse
300,45000,50,0,0.3,1.3122243881225586,density
300,5400,99,0,0.3,0.2503490447998047,sparseextra
50,825,97,4,0.3,0.013739824295043945,sparseextra
100,100,99,3,0.3,0.012644052505493164,sparse
100,1600,99,3,0.3,0.022109508514404297,sparseextra
300,9000,95,0,0.3,0.37919068336486816,sparseextra
200,3400,99,3,0.3,0.09763884544372559,sparseextra
